date,daily_revenue,daily_quantity,products_sold
2025-04-01,121927.16,3615.29,247
2025-04-02,137902.02,1916.31,286
2025-04-03,109953.57,1510.84,260
2025-04-04,115943.97,1748.3,260
2025-04-05,161067.68,2220.39,287
2025-04-06,178687.59,2413.62,281
2025-04-07,128069.52,1806.45,259
2025-04-08,113641.55,1606.23,263
2025-04-09,119535.6,1681.58,266
2025-04-10,101014.43,1405.83,260
2025-04-11,118941.0,1743.72,257
2025-04-12,133159.81,1909.15,298
2025-04-13,173115.74,2357.16,322
2025-04-14,147762.31,1980.98,304
2025-04-15,124723.06,1790.61,264
2025-04-16,119493.4,1653.88,285
2025-04-17,101001.27,1462.47,246
2025-04-18,118135.78,1649.9,252
2025-04-19,146595.79,2007.95,288
2025-04-20,172401.06,2342.43,296
2025-04-21,129681.2,1797.84,256
2025-04-22,118362.94,1754.68,282
2025-04-23,107831.64,1541.33,278
2025-04-24,113733.14,1742.23,259
2025-04-25,105343.37,1470.14,251
2025-04-26,136510.02,1931.7,288
2025-04-27,181878.55,2535.44,304
2025-04-28,128777.5,1944.99,262
2025-04-29,126002.12,1868.88,293
2025-04-30,113423.06,1438.83,268
2025-05-01,132955.16,1978.99,294
2025-05-02,125582.91,1900.38,263
2025-05-03,107240.68000000001,1632.84,253
2025-05-04,177156.27,2488.78,323
2025-05-05,114310.02,1637.6100000000001,269
2025-05-06,148389.18,1946.33,289
2025-05-07,128430.22,1650.11,291
2025-05-08,128112.03,1729.25,272
2025-05-09,113976.96,1494.45,271
2025-05-10,122596.76,1685.57,259
2025-05-11,160962.14,2202.81,280
2025-05-12,106186.95,1504.06,240
2025-05-13,120482.61,1672.19,265
2025-05-14,106893.97,1416.1,244
2025-05-15,98774.15,1456.78,246
2025-05-16,102594.17,1452.89,254
2025-05-17,126867.86,1761.31,278
2025-05-18,155836.42,2043.01,322
2025-05-19,138235.09,1857.6,272
2025-05-20,128759.01,1714.86,284
2025-05-21,86140.26,1249.19,233
2025-05-22,115191.35,1639.04,284
2025-05-23,116275.04000000001,1547.78,271
2025-05-24,132376.82,1674.53,264
2025-05-25,154743.43,2220.37,300
2025-05-26,133100.38999999998,1855.67,300
2025-05-27,107001.47,1589.35,275
2025-05-28,107720.83,1534.38,270
2025-05-29,107351.61,1507.62,286
2025-05-30,115541.13,1491.69,282
2025-05-31,138029.95,1897.82,303
2025-06-01,163232.42,2178.62,321
2025-06-02,133795.11,1864.88,271
2025-06-03,137137.93,1743.92,290
2025-06-04,118722.43000000001,1584.2,263
2025-06-05,106963.61,1488.01,255
2025-06-06,124217.2,1716.95,276
2025-06-07,160685.7,2100.11,313
2025-06-08,184056.74,2377.25,314
2025-06-09,151977.48,1908.77,302
2025-06-10,154327.69,1984.51,297
2025-06-11,133195.71,1807.82,285
2025-06-12,123113.35,1683.18,266
2025-06-13,117688.58,1513.58,271
2025-06-14,154471.08,2033.72,304
2025-06-15,203567.72,2611.45,324
2025-06-16,143870.84,1905.31,278
2025-06-17,141166.18,1819.61,292
2025-06-18,143979.69,1953.45,285
2025-06-19,145174.13,1802.46,286
2025-06-20,113087.19,1574.46,258
2025-06-21,147394.93,1921.09,305
2025-06-22,194142.41,2605.89,330
2025-06-23,154727.39,1965.74,301
2025-06-24,141832.28,1815.51,292
2025-06-25,127990.31,1611.05,290
2025-06-26,132375.09,1676.87,289
2025-06-27,116090.17,1639.57,281
2025-06-28,150568.86000000002,1903.49,324
2025-06-29,212427.73,2705.66,340
2025-06-30,113327.47,1524.66,279
2025-07-01,142815.69,1777.72,284
2025-07-02,142149.91,1874.08,296
2025-07-03,137596.77,1918.58,278
2025-07-04,133104.86,1726.31,281
2025-07-05,151468.16,1847.24,287
2025-07-06,258533.92,3147.68,371
2025-07-07,141060.5,1931.1,283
2025-07-08,136647.98,1707.06,280
2025-07-09,135131.62,1682.01,279
2025-07-10,146176.66,1787.1000000000001,290
2025-07-11,119519.56,1430.36,260
2025-07-12,146217.2,1873.19,292
2025-07-13,215615.03,2558.7,337
2025-07-14,147928.46,1813.09,270
2025-07-15,163322.4,1992.33,307
2025-07-16,138562.45,1617.3,285
2025-07-17,130288.97,1651.41,276
2025-07-18,84576.72,1146.6299999999999,228
2025-07-19,149413.44,1931.87,293
2025-07-20,221907.79,2682.9,335
2025-07-21,195767.14,2475.67,318
2025-07-22,153416.32,1907.88,281
2025-07-23,134989.19,1738.1599999999999,288
2025-07-24,122715.1,1536.13,249
2025-07-25,138344.51,1575.3899999999999,274
2025-07-26,179627.5,2358.14,319
2025-07-27,251245.35,3008.9,351
2025-07-28,157380.02,1913.57,285
2025-07-29,138067.44,1622.08,290
2025-07-30,153228.52,1821.6,296
2025-07-31,144224.94,1679.65,290
2025-08-01,119188.51,1364.2,273
2025-08-02,145097.41,1814.84,284
2025-08-03,226923.16,2698.38,333
2025-08-04,137295.9,1609.6,282
2025-08-05,152016.14,1918.76,307
2025-08-06,136257.42,1724.44,299
2025-08-07,155680.32,1790.03,293
2025-08-08,114483.65,1510.32,234
2025-08-09,121094.54000000001,1571.87,264
2025-08-10,177589.02,2164.18,309
2025-08-11,138172.93,1785.28,265
2025-08-12,142662.47,1762.38,280
2025-08-13,129683.65,1634.66,271
2025-08-14,129956.98,1556.05,272
2025-08-15,119607.37000000001,1496.43,268
2025-08-16,133098.72,1583.8,274
2025-08-17,191895.22,2406.69,346
2025-08-18,142132.7,1888.83,293
2025-08-19,121584.01,1582.45,276
2025-08-20,133137.41,1708.06,280
2025-08-21,147085.52,1761.61,286
2025-08-22,118522.52,1489.15,276
2025-08-23,147599.8,1951.72,307
2025-08-24,213206.88,2455.57,345
2025-08-25,145648.09,1875.25,273
2025-08-26,187503.25,2431.97,305
2025-08-27,136364.14,1729.41,251
2025-08-28,132436.06,1855.8,275
2025-08-29,104504.16,1391.09,254
2025-08-30,134204.87,1689.6,305
2025-08-31,183340.67,2302.38,310
2025-09-01,149204.43,1858.96,301
2025-09-02,131334.2,1629.57,295
2025-09-03,126381.87,1672.05,274
2025-09-04,109328.29,1425.59,273
2025-09-05,120039.46,1554.53,264
2025-09-06,114433.93,1519.44,281
2025-09-07,182178.96,2265.4,322
2025-09-08,151702.99,2014.41,288
2025-09-09,144730.41,1914.33,285
2025-09-10,131934.38999999998,1651.21,280
2025-09-11,111098.77,1503.32,261
2025-09-12,119015.56,1506.69,273
2025-09-13,126259.29000000001,1565.94,308
2025-09-14,209297.27,2617.78,326
2025-09-15,139135.07,1889.1,276
2025-09-16,136508.5,1823.97,292
2025-09-17,102162.78,1369.7,261
2025-09-18,136317.52,1830.11,283
2025-09-19,128172.86,1655.22,313
2025-09-20,118462.74,2178.71,271
2025-09-21,189277.03,2384.4,327
2025-09-22,104028.65,1423.15,242
2025-09-23,141541.31,1791.73,289
2025-09-24,128104.96,1690.55,280
2025-09-25,94340.04,1214.41,245
2025-09-26,114343.8,1537.3,273
2025-09-27,121627.33,1573.14,261
2025-09-28,168662.4,2216.71,311
2025-09-29,91423.39,1260.36,237
2025-09-30,116022.83,1578.61,249
