product,avg_volatility,volatility_std,max_volatility,avg_daily_qty,total_qty
ALPHONSO MANGO PC RATNAGIRI,0.7969,0.3657,1.291,6.5625,105.0
BAILLEY WATER  500ML,0.8195,0.5858,2.1486,2.918,178.0
BANANA LEAF,0.8556,0.1953,1.0601,20.0,100.0
BUTTER MILK 170ML HERITAGE SACHET,1.2728,,1.2728,10.0,20.0
CASHEW BROKEN 2 PIECE  KGSFLYBERRY,0.7747,0.3629,1.8427,0.2606,23.45
DATES POWDER 180g FLYBERRY,0.8765,0.3804,1.4142,0.8,4.0
DERI DATES KG FLYBERRY,0.9809,0.4091,1.2674,0.2767,2.49
FRUIT BASKET 350 RAJU,1.1077,0.0665,1.1547,3.0,9.0
GREEN APPLE,0.7769,0.2715,1.5318,1.1093,151.97
MANGO GINGER,0.8474,0.1664,1.2542,0.4148,19.08
MODERN  CRUST PIZZA BASE 150g,0.9428,,0.9428,3.0,6.0
NARINJAAKAYA KG LOOSE,0.7755,,0.7755,2.015,4.03
ONION WHITE,0.8118,0.2546,1.4199,1.9635,84.43
PERSIMMON FRUIT,0.7883,0.1973,0.9518,0.725,5.8
SAMBAR ONION CHENNAI,1.1323,0.1589,1.2402,1.47,8.82
SMALL AMLA,0.9341,0.071,1.0402,0.626,3.13
SPECIAL LONG LIFE COW MILK 180ML HERITAGE,0.8067,0.2401,1.3896,5.1545,634.0
VINAYAKA VIGRAHAM 12 INCH,0.8485,,0.8485,2.5,5.0
WOOD APPLE,0.9756,0.3872,1.6341,1.774,26.61
YELLOW BANTHI POOLU KGS LOOSE,1.0311,0.3328,1.2664,2.7467,8.24
