product,mean_price,price_std,price_cv,mean_moving_range,ucl_x,lcl_x,ucl_mr,n_observations
ANAR,300.0179781420765,43.490510223710274,0.1449596803932693,2.3909340659340654,306.3778627574611,293.6580935266919,7.818354395604394,183
APPLE ROYAL GALA,,,0.0,,,,,183
TOMATO LOCAL,41.222131147540985,14.869282502019956,0.3607111541322373,1.806758241758242,46.02810807061791,36.41615422446406,5.908099450549451,183
BANGINAPALLI MANGO LOOSE KGS,157.6916535433071,57.771068281075266,0.36635463566376714,4.16047619047619,168.75852020997377,146.62478687664043,13.604757142857142,127
POTATO,49.11601092896175,3.8256306940857256,0.07788968651421779,0.8854945054945054,51.47142631357713,46.760595544346366,2.8955670329670324,183
ONION,33.289781420765024,3.433701973357706,0.10314582513947901,0.42054945054945053,34.40844295922656,32.171119882303486,1.3751967032967032,183
CARROT,62.026721311475406,17.0709804944693,0.27521977840397377,1.623296703296703,66.34469054224463,57.70875208070618,5.308180219780219,183
TONED MILK 500ml HERITAGE,31.3044262295082,0.5794500631680485,0.018510163991501204,0.06362637362637362,31.47367238335435,31.135180075662046,0.20805824175824172,183
KIRAN MELON,33.03901098901099,7.3812037874270615,0.2234087391381692,0.434475138121547,34.19471485641431,31.883307121607675,1.4207337016574586,182
RIDGE GOURD,57.33546448087432,9.73865452705723,0.1698539397078714,3.1453296703296694,65.70204140395124,48.9688875577974,10.28522802197802,183
BABY ORANGE,271.00879781420764,26.089549876577014,0.096268276480319,4.969780219780221,284.22841319882303,257.78918242959224,16.251181318681322,183
LADIES FINGER,54.19573770491803,10.399200703682162,0.19188226130075317,1.7969230769230766,58.97555308953341,49.41592232030265,5.8759384615384604,183
USA FUJI APPLE,,,0.0,,,,,182
LEMON,164.72650273224045,38.06869126245063,0.23110240690491987,1.6838461538461538,169.20553350147122,160.24747196300967,5.506176923076923,183
BEAUTY PEARS,,,0.0,,,,,183
Black Chilly,78.74098360655739,14.564463981018184,0.18496675192415662,5.196593406593406,92.56392206809585,64.91804514501894,16.992860439560438,183
BUSH BEANS,114.64371584699451,31.134922398327223,0.27157984341575625,6.61010989010989,132.22660815468683,97.0608235393022,21.615059340659343,183
BOTTLE GOURD,37.21841530054645,7.498442840331,0.2014713087534629,1.9180769230769226,42.32049991593106,32.116330685161834,6.2721115384615365,183
PINK LADY APPLE,367.50757763975156,32.661888759867885,0.08887405524977944,8.4944375,390.10278138975156,344.91237388975156,27.776810625,161
BLUE BERRY,304.1651149425287,38.12631476894077,0.12534742774872343,3.61271676300578,313.7749415321241,294.5552883529333,11.8135838150289,174
